galaxyID,FOV,pixel,view,band,level,ncontour,cx,cy,a,b,theta,flag,lum_sum,b_a,b_a_std,lim,nrange
747,36,1800,projection_zx,band_g,281276.9855866333,1,-0.2277366343586675,-0.9770863755290996,14.217734996260456,10.164018797455093,0.3136689384786534,none,794403200.0,0.715605446281428,0.0027620971578286,0.9,12
748,12,600,projection_xy,band_g,121844814.21508361,2,1.5501918077592207,0.0894786491783646,0.7102442196799019,0.3042733870610608,1.2111928466818966,none,106740216.0,0.4284067066370395,0.0,0.5,1
748,12,600,projection_xy,band_g,3809426.6576001425,3,3.683157979102308,3.52288122358394,5.997699569301079,4.486927073186612,0.9458929020379642,none,1232283100.0,0.7505031239469386,0.0158292195475147,0.9,12
748,12,600,projection_yz,band_g,140091927.49673042,2,0.0064030213310086,0.2783590488007887,0.5241829548113789,0.3592990583892569,2.768717931896209,none,109378520.0,0.6632000995255497,0.0138768948945484,0.5,6
748,12,600,projection_yz,band_g,4178857.0387135046,1,3.40974001664792,2.709479899459771,6.535731647057246,2.9645339536330564,0.605265039054316,none,1219159200.0,0.453702436474966,0.0109456259403353,0.9,12
748,12,600,projection_zx,band_g,136838728.17905024,2,0.3112336707377874,1.5571528717197314,0.402480205149314,0.3762570004333087,0.4586870929036046,none,92551220.0,0.9474531435445352,0.0079886143751958,0.5,6
748,12,600,projection_zx,band_g,3809426.6576001425,1,2.663787065790437,3.48906545243935,5.61896238204966,4.147249629825099,1.1520784800408688,none,1214184700.0,0.737536345511893,0.0041588203821776,0.9,12
751,22,1100,projection_xy,band_g,5270617.162418834,8,3.873376086446999,-3.808836679807055,4.31613069202153,3.1236406168823136,1.9246088557553016,none,283068740.0,0.7821091813623465,0.0306984937419381,0.5,12
751,22,1100,projection_xy,band_g,634697.0520033826,1,3.963348598550181,-2.3438871083759887,7.668981252244023,6.701268927784931,2.006384321836601,none,545669570.0,0.8708706363260451,0.0044472214236924,0.9,12
751,22,1100,projection_yz,band_g,15021598.192299074,4,-2.8082368758207443,1.9394649308384424,1.570189208384739,0.8351265930074717,3.116658964247973,none,64010948.0,0.5254342000127696,0.0064294687399726,0.5,2
751,22,1100,projection_yz,band_g,858979.2719417983,1,-2.469946618519565,2.735965555259102,7.724707417056807,4.358365890448108,3.0535780770854988,none,525166460.0,0.5646099250681155,0.0009372565348117,0.9,12
751,22,1100,projection_zx,band_g,8595910.768736595,3,2.806628443093339,3.918227110530728,3.3276850006322785,2.103304552378703,1.9464361200810916,none,284349630.0,0.597480001746414,0.0391363742746388,0.5,12
751,22,1100,projection_zx,band_g,839032.1498533543,1,2.637942558768956,4.088028648723358,7.31556118488776,4.41898145530846,1.7238204627135028,none,517030140.0,0.6053441014093327,0.0022136876673332,0.9,12
781,23,1150,projection_xy,band_g,14332038.88281977,2,0.370755796421701,-0.4519554035215801,2.318994467914545,1.19963823037573,1.7725286143372312,none,292050660.0,0.5052566444809975,0.018205939206396,0.5,12
781,23,1150,projection_xy,band_g,729747.3754992095,1,0.4128889351160566,-0.3847228534331012,7.786583709383936,3.7534143557729656,1.7367553869403427,none,528871580.0,0.4826571217210649,0.0007218961227863,0.9,12
781,23,1150,projection_yz,band_g,11633438.583809048,2,-0.885492679156106,-0.8200674974035937,2.584658327301707,1.4576935333746392,0.7045100899124828,none,327459900.0,0.5709780460996461,0.0122918714984465,0.5,12
781,23,1150,projection_yz,band_g,565151.0023026776,1,-0.3882633528326286,-0.7385510608992453,7.808836580363375,5.152099849197065,0.5143402844398319,none,594614100.0,0.6634124282562771,0.0068141535475824,0.9,12
781,23,1150,projection_zx,band_g,18973110.153594837,1,-0.778073817360498,0.5283520024931279,2.272817433863254,0.8613967047248717,2.833275259318905,none,259502530.0,0.3924364351905208,0.0169046641643667,0.5,12
781,23,1150,projection_zx,band_g,820716.0940265952,1,-0.6741660578159172,0.3271121756190372,6.231309560268127,3.90836221471865,3.052952628796781,none,518830750.0,0.6284558388624144,0.0043407439999844,0.9,12
786,37,1850,projection_xy,band_g,2877590.9977854122,1,0.6288242121203388,-0.0265737233644713,5.462110690064422,2.827786540060884,1.4337347992084897,none,343950140.0,0.510268535914097,0.008790668272331,0.5,12
786,37,1850,projection_xy,band_g,116168.84521241776,1,0.9000517940407672,-1.024827466860977,17.61539716799278,10.249167352430764,1.3395592488762895,none,619579650.0,0.5828944109367385,0.0044808080296315,0.9,12
786,37,1850,projection_yz,band_g,2448146.2191235414,3,-0.2924293728761888,0.5694215682243602,5.389799829621004,3.597070340923073,0.426460538687075,none,352200160.0,0.6734365488062385,0.0250753079579445,0.5,12
786,37,1850,projection_yz,band_g,108416.61823940172,1,-0.9685878777841692,-0.5794169225472267,17.56360482061248,13.369417364298757,0.7139186329314504,none,637329600.0,0.7637010674388836,0.0132952421509038,0.9,12
786,37,1850,projection_zx,band_g,3387187.269475365,1,0.5671482485899305,0.6496357681526335,4.23423870031582,2.950610239815114,0.2335885155092145,none,335307140.0,0.6957116129297014,0.0009730363906472,0.5,12
786,37,1850,projection_zx,band_g,143320.3888281977,1,-0.3060124810351268,0.6411743428003337,16.532507344991288,9.256077977612629,0.3781697376453147,none,606089540.0,0.5605993452694332,0.0045599608781804,0.9,12
787,27,1350,projection_xy,band_g,9653701.757533623,1,-0.0138419108774209,-1.2144305852492348,3.066547225213317,1.7025260977116952,0.873411676641537,none,376304600.0,0.5546576108849424,0.0116366696704672,0.5,12
787,27,1350,projection_xy,band_g,649786.3183535454,1,-0.1424644151020474,-1.6123677124269185,7.893307725733302,6.195335548586842,0.8267182304747734,none,680456800.0,0.7871630271112179,0.0095416053360917,0.9,12
787,27,1350,projection_yz,band_g,7654025.761301261,4,-1.247437417683134,1.0354144002262502,3.2585084592016424,1.952545976071098,2.228112559028674,none,394655870.0,0.5951660659493695,0.0040692256676612,0.5,12
787,27,1350,projection_yz,band_g,515189.0274772471,1,-1.5520092338756508,1.0066330870753866,9.048718924081344,6.93169717822938,1.9014427241060483,none,713625540.0,0.7681730851073717,0.0048081606842986,0.9,12
787,27,1350,projection_zx,band_g,9429524.558091262,2,1.011193023910015,0.0490779179087761,2.914436955817892,1.9677383949993943,2.652678870441136,none,403478200.0,0.6919253168438196,0.026867671393033,0.5,12
787,27,1350,projection_zx,band_g,649786.3183535454,1,1.0757898923248983,-0.1869425646087215,9.019949648142706,6.045397444156089,2.734796573590081,none,725726460.0,0.6717521620917778,0.0086613983412302,0.9,12
788,26,1300,projection_xy,band_g,4178857.0387135046,4,-1.8313056908648075,-1.8842665157045717,4.446390208949701,3.0228358313965464,1.89188775875302,none,241715070.0,0.6913358549999863,0.0259664771008298,0.5,12
788,26,1300,projection_xy,band_g,323400.18182261975,1,-1.6012441200289866,-2.13887853009872,8.849485671518684,7.511575707090924,1.95701010696074,none,442061900.0,0.8482425863165357,0.0033227904814751,0.9,12
788,26,1300,projection_yz,band_g,4166972.7034235043,7,-2.1568281209831435,2.992705339389421,4.494633206615447,3.418389251963664,2.8477543344082115,none,248585540.0,0.7725189093096935,0.0081491552443091,0.5,7
788,26,1300,projection_yz,band_g,308554.65052772715,1,-2.1637839349059385,3.225513594021473,8.728059745286847,7.926676443251901,0.0385498856220345,none,449184200.0,0.908275640786716,0.0097836747053323,0.9,12
788,26,1300,projection_zx,band_g,4797833.199840705,3,2.859899406704334,-1.9161775694364584,4.8066529854140985,1.9843907827525225,2.4426041097485083,none,225353230.0,0.5200765702360713,0.0722091135854125,0.5,8
788,26,1300,projection_zx,band_g,363196.9883869074,1,3.1647959216178214,-1.5754366084912763,9.36520858255353,6.308682460333693,2.412234289200624,none,436427940.0,0.6746542221132593,0.0058205464412085,0.9,12
806,25,1250,projection_xy,band_g,1984353.52786856,1,1.3686025780446187,-1.7074511950448932,4.310524241681008,2.3140179268068266,1.9153039378368464,none,87321544.0,0.5337711101794472,0.002679939634104,0.5,12
806,25,1250,projection_xy,band_g,176817.92236383646,1,2.508034284527392,-3.0776330815573565,10.26927471153718,5.018039360211,2.094018549976967,none,158942180.0,0.4894285070497633,0.0028744423727798,0.9,12
806,25,1250,projection_yz,band_g,2562282.9529180126,1,-1.624626039488833,-2.120383634106507,4.382628540945229,1.5686863112370806,0.2210244612519183,none,87509540.0,0.3550807343588929,0.0041741022853946,0.5,5
806,25,1250,projection_yz,band_g,274745.20239297993,1,-3.525466699283587,-2.2404148243666357,9.511811892020216,3.755857773250527,0.1639078668868347,none,158542460.0,0.3956978094892454,0.0034517980756827,0.9,12
806,25,1250,projection_zx,band_g,3804005.9484279533,1,-2.0200076784850505,1.415001181557371,2.7105247847317027,1.6723881322331358,1.648598496691215,none,87522800.0,0.6125743708851196,0.0124447211658538,0.5,12
