2024-11-11 11:03:59,262:INFO: Failed to extract font properties from /usr/share/fonts/google-noto-emoji/NotoColorEmoji.ttf: In FT2Font: Could not set the fontsize (invalid pixel size; error code 0x17)
2024-11-11 11:03:59,399:INFO: generated new fontManager
2024-11-11 13:15:13,325:INFO: Chi^2/DoF: 35081916.69607543, L: 0.1111111111111111
2024-11-11 13:15:18,862:INFO: Chi^2/DoF: 33460978.995821275, L: 0.13580246913580246
2024-11-11 13:15:25,821:INFO: Chi^2/DoF: 32539234.610966127, L: 0.0016765736930345982
2024-11-11 13:15:32,042:INFO: Chi^2/DoF: 32241774.939788606, L: 0.0020491456248200642
2024-11-11 13:15:38,194:INFO: Chi^2/DoF: 32226519.32402835, L: 0.00022768284720222937
2024-11-11 13:15:44,329:INFO: Chi^2/DoF: 30891512.560286094, L: 2.529809413358104e-05
2024-11-11 13:15:52,184:INFO: Chi^2/DoF: 30489302.648239773, L: 3.8558290098431705e-09
2024-11-11 13:15:57,972:INFO: Chi^2/DoF: 30261695.43940876, L: 1e-09
2024-11-11 13:16:03,796:INFO: Chi^2/DoF: 30055784.87747725, L: 1e-09
2024-11-11 13:16:09,660:INFO: Chi^2/DoF: 29858173.551925547, L: 1e-09
2024-11-11 13:16:15,450:INFO: Chi^2/DoF: 29667569.435575347, L: 1e-09
2024-11-11 13:16:21,300:INFO: Chi^2/DoF: 29482072.62336727, L: 1e-09
2024-11-11 13:16:27,287:INFO: Chi^2/DoF: 29300710.10283763, L: 1e-09
2024-11-11 13:16:33,766:INFO: Chi^2/DoF: 29134925.245420195, L: 1e-09
2024-11-11 13:16:40,144:INFO: Chi^2/DoF: 29001449.346614536, L: 1e-09
2024-11-11 13:16:45,990:INFO: Chi^2/DoF: 28907804.072738156, L: 1e-09
2024-11-11 13:16:51,913:INFO: Chi^2/DoF: 28849680.786088604, L: 1e-09
2024-11-11 13:16:57,692:INFO: Chi^2/DoF: 28817067.46550262, L: 1e-09
2024-11-11 13:17:03,151:INFO: Chi^2/DoF: 28800172.8736032, L: 1e-09
2024-11-11 13:17:08,481:INFO: Chi^2/DoF: 28791941.31322277, L: 1e-09
2024-11-11 13:17:13,997:INFO: Chi^2/DoF: 28788110.402421005, L: 1e-09
2024-11-11 13:17:19,631:INFO: Chi^2/DoF: 28786385.140047226, L: 1e-09
2024-11-11 13:17:24,796:INFO: Chi^2/DoF: 28785624.706567075, L: 1e-09
2024-11-11 13:17:30,342:INFO: Chi^2/DoF: 28785293.570988398, L: 1e-09
2024-11-11 13:17:35,545:INFO: Chi^2/DoF: 28785150.083080035, L: 1e-09
2024-11-11 13:17:40,807:INFO: Final Chi^2/DoF: 28785087.96984828, L: 1e-09. Converged: success
2024-11-11 13:21:13,692:INFO: Chi^2/DoF: 10044504646.820179, L: 1.0
2024-11-11 13:21:18,682:INFO: Chi^2/DoF: 9563314017.80511, L: 0.1111111111111111
2024-11-11 13:21:24,160:INFO: Chi^2/DoF: 9494169799.79281, L: 1.493827160493827
