galaxyID,host,ParticleSelection,A,B,C,Rmax,R50,RotationMatrix
256,host,YS,1.5349615260328162,0.9654192781696448,0.3061265985063544,5.2971458112982575,4.612415794165522,"[[ 0.81363842,-0.5771569 , 0.06987446], [-0.06710461,-0.21261895,-0.97482827], [ 0.57748549, 0.78846883,-0.21172484]]"
257,host,YS,1.7911094969133747,1.278557269815577,0.4871996541789571,4.294638800517202,4.370153942340347,"[[-0.23930522, 0.96377638, 0.11776292], [-0.34926095,-0.19861403, 0.91573427], [ 0.90595243, 0.17801   , 0.38413883]]"
260,host,YS,1.2286954866495718,0.6585961091868503,0.2474508099117265,6.786634238078716,3.935961328132174,"[[-0.72023212, 0.24553523, 0.64882828], [ 0.23677533, 0.96611348,-0.10277249], [-0.65207602, 0.07960648,-0.75396265]]"
261,host,YS,1.3798073456828788,0.690712743807859,0.2131756920421606,5.623185546941846,4.08309537882888,"[[ 0.90502463,-0.07048201, 0.41947909], [ 0.11544966, 0.98985938,-0.08276338], [-0.40939199, 0.12333162, 0.90398424]]"
263,host,YS,0.935362205668206,0.622787614223085,0.2603515811278051,5.029974446171668,2.381005282215845,"[[-0.23643316,-0.969109  , 0.07019339], [-0.94790701, 0.21418182,-0.23579325], [ 0.21347521,-0.12228615,-0.96926489]]"
264,host,YS,0.5393603792409658,0.4395753275355186,0.0684319510009455,9.913472519329016,2.387712080228816,"[[-0.92625832,-0.3529504 ,-0.13217993], [ 0.07306383,-0.51221881, 0.85574153], [-0.36973936, 0.78298014, 0.50023484]]"
265,host,YS,1.1805988862973271,0.7671939778430409,0.2359143000122605,6.744237560725764,3.526751832893647,"[[ 0.13988885,-0.7563205 , 0.63906996], [ 0.0068699 ,-0.64465932,-0.76443912], [ 0.99014338, 0.11132685,-0.08498481]]"
266,host,YS,1.174762186077419,1.023012893028039,0.2077459651777259,5.319879435919968,3.217945808813558,"[[ 0.11754571, 0.40826725,-0.90526287], [ 0.90340881,-0.42248049,-0.07323079], [ 0.41235363, 0.80921449, 0.418493  ]]"
268,host,YS,1.1699311658262217,1.0658682416135867,0.2403293750245911,5.78002143913736,3.6962445625836633,"[[ 0.26937547, 0.9444387 ,-0.18834117], [-0.14975912, 0.23427219, 0.96056689], [ 0.95131964,-0.23054735, 0.2045455 ]]"
269,host,YS,1.9369291258998769,1.1145018495383543,0.4958772707930258,4.465075367306711,4.683284137886582,"[[-0.02356924, 0.5292223 ,-0.84815579], [-0.46364225,-0.75742312,-0.45972392], [ 0.88570896,-0.38240551,-0.26322171]]"
