galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat
462,26,1300,projection_yz,mockmass,0.5389649251106169,2.1934047286605773,0.8936585569806572,4.849686177098322,4.2891937110295295,1268390000.0
462,26,1300,projection_zx,mockmass,0.8445995771606589,2.445117217485287,0.851034218858568,3.77595970316608,4.316173891122965,1268390000.0
469,26,1300,projection_xy,mockmass,0.7683853585833267,0.918768169017351,0.7686393081317917,4.64949098175862,4.292090841487325,1544630000.0
469,26,1300,projection_yz,mockmass,0.5632448092761249,0.7943900481308198,0.7853795553647336,4.956327476349219,4.372119771351049,1544630000.0
469,26,1300,projection_zx,mockmass,0.526010131676846,0.7021408596446603,0.7651730925449276,5.128218501483281,4.3735229846889805,1544630000.0
471,24,1200,projection_xy,mockmass,0.5492145884939165,2.8732276347465904,0.8051345542904478,4.08617549274096,4.485379385807323,1360280000.0
471,24,1200,projection_yz,mockmass,0.8395783616580171,1.919028026965432,0.9198034157754632,4.155754047111556,4.266210238691865,1360280000.0
471,24,1200,projection_zx,mockmass,0.6599771170298061,1.786888985472021,0.8256654846974225,3.520170578527894,4.521978706111689,1360280000.0
478,23,1150,projection_xy,mockmass,0.7401434788955479,0.167888448045819,0.8904329833028857,3.4991275368823302,4.685181972947786,2247600000.0
478,23,1150,projection_yz,mockmass,0.9035100853113815,1.520277894776207,0.9308925161786652,3.5422670354793566,4.585241568553651,2247600000.0
478,23,1150,projection_zx,mockmass,0.565307527350871,0.9797927202830172,0.8894541754266688,3.57641745313549,4.782153083063619,2247600000.0
479,24,1200,projection_xy,mockmass,0.3964660601678524,0.7620193823855149,0.7568393098139817,5.160534764203501,4.420700120256697,1285150000.0
479,24,1200,projection_yz,mockmass,0.9366939532909652,1.5531246447172604,0.8632229395282404,3.9557525984120647,4.2505048688534615,1285150000.0
479,24,1200,projection_zx,mockmass,0.9368481092990294,0.4187086305445748,0.8687796587803884,3.951765177170779,4.253212851066785,1285150000.0
482,19,950,projection_xy,mockmass,0.4698454029254675,2.5318603248424743,0.7084882848524141,3.370817452778084,4.827195979410638,1688840000.0
482,19,950,projection_yz,mockmass,0.7626807928104854,2.9476709637316136,0.7223018538661904,3.750856796141433,4.521916908099813,1688840000.0
482,19,950,projection_zx,mockmass,0.6324511882828864,1.4983195156612088,0.6879799613999242,3.708687250049452,4.624006233043182,1688840000.0
484,22,1100,projection_xy,mockmass,0.6065545206098877,0.5554062745627066,0.96775560877168,3.669593496859251,4.733561034657472,2353360000.0
484,22,1100,projection_yz,mockmass,0.6358000280801482,1.304605806681954,0.9196559653762404,3.3352700998265776,4.803109204372162,2353360000.0
484,22,1100,projection_zx,mockmass,0.8320436650376731,2.924283667859296,0.9494804998388572,2.671914425508579,4.8700944462538525,2353360000.0
492,25,1250,projection_xy,mockmass,0.7981056919822049,1.2626616963922712,0.8224543177542323,3.22061919109755,4.445222313458768,1232740000.0
492,25,1250,projection_yz,mockmass,0.8256126761270117,1.9523865961755829,0.8686419235720647,2.83839681293585,4.53460188274565,1232740000.0
492,25,1250,projection_zx,mockmass,0.7101887869833365,0.2003590629952285,1.0405036093255984,3.47650387915787,4.394603817363996,1232740000.0
495,8,400,projection_xy,mockmass,0.6518575071262922,0.3331690155939016,0.8240301385941593,2.9625270693253998,5.088953963943308,3615060000.0
