galaxyID,FOV,pixel,view,band,b_a,b_a_e,PA,PA_e,n,n_e,Re,Re_e,Ie,Ie_e,Mstar_ahf_cat
1158,19,950,projection_yz,band_u,0.6835646387732117,6.300854667992886e-09,1.4350404385623252,1.1827202164208504e-08,0.6465743199667753,9.897728945071488e-09,2.8507869828695465,2.1929426991210483e-08,6.074525641190742,5.029980658457662e-09,84098000.0
1158,19,950,projection_zx,band_r,0.8047067004423023,8.583623374684625e-09,0.5489690293758098,2.4354159432210263e-08,0.7213760068212056,1.2245187735036504e-08,2.420152385399234,2.2597329040132798e-08,6.0379778298419,6.147248297573472e-09,84098000.0
1158,19,950,projection_zx,band_u,0.74196487956322,6.236729073063134e-09,0.5286267023934844,1.3874999476314411e-08,0.7691456416775453,1.0048144988871253e-08,2.501949460208244,1.8972559708689186e-08,6.138491964302188,5.009330585933671e-09,84098000.0
1163,17,850,projection_xy,band_r,0.5015786661065613,4.000281505480724e-09,0.5052966198900976,5.3448684410935986e-09,1.134959853491924,1.2452345213888146e-08,2.093040959380996,1.8702955972458745e-08,6.270181655763406,5.9727624888900805e-09,59018600.0
1163,17,850,projection_xy,band_u,0.5170338416669794,1.868723054952299e-09,0.4627278435391459,2.5506017223219e-09,1.4583133096361531,6.842905388802629e-09,1.705321550167635,8.177349998221898e-09,6.645123614150175,3.2100196181218517e-09,59018600.0
1163,17,850,projection_yz,band_r,0.806435610545395,8.924331920308314e-09,0.5243692968398543,2.5523258234348704e-08,1.9142381698659745,2.6007375099037077e-08,2.819544826424196,5.0745228146696745e-08,5.770299392194697,1.199864166099268e-08,59018600.0
1163,17,850,projection_yz,band_u,0.7472940281767346,3.240724398891793e-09,0.8891823309258525,7.338896712374861e-09,2.0619745030866627,1.094743559890072e-08,1.7651251144241809,1.3242616084866024e-08,6.374129795231591,5.004766876383126e-09,59018600.0
1163,17,850,projection_zx,band_r,0.4784500932444907,4.269129593580851e-09,1.149235768672193,5.5364304823999125e-09,1.3749744963054216,1.6089906656931494e-08,2.3750574332544274,2.6956407106505804e-08,6.138757167958423,7.593696825094384e-09,59018600.0
1163,17,850,projection_zx,band_u,0.4863442915582611,1.716446272256607e-09,1.0514960163424831,2.2481369669855702e-09,1.3761780550850853,6.3865984073382134e-09,1.5137024674756852,6.803241519980222e-09,6.733827515735832,3.009001056533246e-09,59018600.0
1165,26,1300,projection_xy,band_r,0.8864671393130638,7.651276066433251e-09,2.2968668276692146,3.572424188743906e-08,0.7987542294666397,1.0570327047382429e-08,3.655751577664352,2.8998009684316282e-08,5.919671639704321,5.24895775126284e-09,204230000.0
1165,26,1300,projection_xy,band_u,0.8842872907217715,6.5662306952354155e-09,2.345203371037168,3.0115354792234755e-08,1.0807573373084878,1.1176586641979871e-08,3.747246635793652,3.023978226397574e-08,5.933398479012173,5.3883599873660484e-09,204230000.0
1165,26,1300,projection_yz,band_r,0.649768859886481,5.792580109960479e-09,0.4846880675558568,1.0025225977972106e-08,0.6635832319853552,9.722161753826854e-09,4.405133485186402,3.3132377486948084e-08,5.909128162033395,4.926489189901549e-09,204230000.0
1165,26,1300,projection_yz,band_u,0.6184587182205574,4.7115968780264954e-09,0.4300957227741148,7.630005675124776e-09,0.7513524776246224,8.971418374392317e-09,4.491277084346308,3.052439091123029e-08,5.968957530364714,4.484109944960821e-09,204230000.0
1165,26,1300,projection_zx,band_r,0.7283053282674457,6.738520131055927e-09,1.1580139631468065,1.4350364570745904e-08,0.6721362684788991,1.0168542936018484e-08,4.293344713424944,3.3698016241073075e-08,5.878392281948326,5.1453105376904636e-09,204230000.0
1165,26,1300,projection_zx,band_u,0.6959290264284298,5.3954747917888085e-09,1.2358855381730405,1.0462777889460764e-08,0.7028434199958375,8.756768500169401e-09,4.280515406092238,2.8709808339959693e-08,5.962700093707237,4.408904854612619e-09,204230000.0
1167,18,900,projection_xy,band_r,0.649656056063096,6.4261728903162475e-09,1.2693625903760024,1.1118753170459631e-08,0.8606749863314965,1.2725121701272949e-08,2.4408309004023248,2.3052408933083294e-08,6.094846216044823,6.2694353897830245e-09,61936700.0
1167,18,900,projection_xy,band_u,0.7145624354141829,4.0829062739628755e-09,1.3480592157356357,8.342630272471959e-09,1.109830247278547,8.772107544581735e-09,2.0320432055694906,1.2827032744312578e-08,6.3548348260613245,4.2174150731708044e-09,61936700.0
1167,18,900,projection_yz,band_r,0.5121676177181472,5.8265431965993544e-09,0.253777864810679,7.898196954611788e-09,0.9850279906110582,1.604285521993774e-08,3.30690670479476,3.869707355386628e-08,5.935653961836001,7.799832001874429e-09,61936700.0
