Name,RAh,RAm,RAs,DE,DEd,DEm,DEs,a26,b_a,AB,l_FUVmag,FUVmag,Bmag,l_Hamag,Hamag,Kmag,f_Kmag,l_21mag,21mag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis
LeoA,9,59,26.4,+,30,44,47,5.75,0.61,0.09,,14.7,12.92,,18.46,10.49,*,,12.76,19.0,10.0,Ir,N,24.0,0.81,TRGB
[CKT2009]d0959+68,9,59,33.1,+,68,39,25,0.79,0.7,0.32,,19.85,18.0,,21.33,15.36,*,,,,10.0,Ir,L,-186.0,3.6,mem
KKSG16,9,59,47.5,-,9,20,36,0.87,0.78,0.31,>,23.0,18.0,,,13.62,*,>,18.2,,-3.0,Sph,L,,9.7,mem
SexB,10,0,0.1,+,5,19,56,6.03,0.69,0.14,,13.92,11.85,,16.86,9.5,,,12.33,38.0,10.0,Ir,N,300.0,1.36,TRGB
KKH57,10,0,16.0,+,63,11,6,0.6,0.83,0.09,>,23.0,17.87,,24.25,13.69,*,>,20.0,,-3.0,Sph,L,,3.91,TRGB
LV J1000+5022,10,0,25.5,+,50,22,45,0.58,0.76,0.05,,,17.1,,,14.7,*,,,,9.0,Im,N,538.0,7.97,h
LV J1000+3032,10,0,36.5,+,30,32,10,0.28,0.71,0.08,,19.84,18.06,,,15.64,*,,19.26,20.0,10.0,Ir,N,501.0,7.1,TF
ClumpIII,10,0,40.4,+,68,39,37,0.1,0.95,0.31,>,23.0,19.8,,22.21,17.17,*,,,,10.0,Ir,L,-121.0,3.6,mem
MCG -01-26-009,10,1,33.6,-,6,31,30,1.12,0.78,0.15,,17.97,16.1,,19.6,13.61,*,,16.49,38.0,10.0,Ir,N,748.0,9.7,mem
KKSG17,10,1,38.4,-,8,14,56,1.66,0.21,0.26,,18.43,15.41,,21.66,12.82,*,,16.46,49.0,10.0,Ir,N,446.0,9.7,mem
UGCA193,10,2,36.2,-,6,0,43,4.27,0.07,0.17,,16.61,14.67,,18.72,12.0,,,14.4,123.0,7.0,,,663.0,9.7,mem
NGC3109,10,3,7.2,-,26,9,36,19.95,0.19,0.29,,11.98,10.39,,14.11,7.5,,,10.51,117.0,8.0,,,403.0,1.32,TRGB
NGC3077,10,3,21.0,+,68,44,2,6.46,0.83,0.29,,14.19,10.62,,14.55,7.32,,,11.76,70.0,9.0,dEem,N,19.0,3.82,TRGB
GARLAND,10,3,42.0,+,68,41,36,3.98,0.6,0.29,,17.03,16.8,,17.3,14.18,*,>,14.88,,10.0,Ir,X,43.0,3.82,TRGB
ESO499-038,10,3,50.2,-,26,36,46,0.83,0.55,0.3,,16.81,15.68,,,13.06,*,,14.94,77.0,10.0,Ir,N,885.0,15.3,TF
NGC3104,10,3,57.4,+,40,45,25,3.55,0.56,0.06,,14.57,13.97,,16.84,11.24,*,,14.25,102.0,8.0,,,603.0,16.0,TF
Antlia,10,4,4.0,-,27,19,55,2.0,0.75,0.34,,17.1,16.19,,,12.73,,,16.63,22.0,10.0,Tr,L,362.0,1.32,TRGB
BK5N,10,4,40.3,+,68,15,20,0.79,0.75,0.25,,23.76,17.53,,24.61,13.2,*,,,,-3.0,Sph,L,,3.78,TRGB
UGC05427,10,4,41.0,+,29,21,59,1.38,0.67,0.1,,16.4,14.89,,18.94,12.2,,,16.42,71.0,8.0,,,498.0,7.11,BS
KDG063,10,5,7.3,+,66,33,18,1.91,0.88,0.41,>,23.0,16.01,,22.18,11.53,*,,16.27,19.0,-3.0,Tr,L,-129.0,3.5,TRGB
NGC3115,10,5,14.0,-,7,43,7,8.51,0.35,0.2,,16.09,9.87,>,24.11,5.88,,,13.89,238.0,-1.0,,,681.0,9.68,SBF
UGC05423,10,5,30.6,+,70,21,52,1.07,0.67,0.34,,17.23,14.42,,18.35,11.99,,,15.92,44.0,10.0,Ir,N,348.0,8.71,TRGB
KDG065,10,5,34.4,-,7,44,57,1.07,0.69,0.03,,23.16,16.36,,,12.23,*,,,,-3.0,Sph,L,721.0,9.7,mem
KKSG18,10,5,41.6,-,7,58,53,1.51,0.8,0.23,,19.4,13.61,,,10.05,,,,,9.0,BCD,N,698.0,9.7,mem
[CKT2009]d1006+67,10,6,46.2,+,67,12,4,0.32,0.97,0.31,>,23.0,19.7,,,15.32,*,,,,-3.0,Sph,X,,3.87,TRGB
