galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie
791,20,1000,projection_xy,band_r,0.323879228649345,1.553044663406418,0.9929053483635921,4.758336957574354,6.249327716209375
791,20,1000,projection_yz,band_u,0.5954146971930758,2.814405609484902,0.6611326414676624,1.540959550215773,7.281409446785052
791,20,1000,projection_yz,band_r,0.7838215689671313,2.7500111872512747,0.8517020192264608,1.7349103428201929,6.728209907653035
791,20,1000,projection_zx,band_u,0.417053386396031,2.8267506411716465,0.9787118864072112,3.536351975364784,6.713118550957317
791,20,1000,projection_zx,band_r,0.36521054916038004,3.0132583254546024,0.8570537562038376,4.457689357072852,6.271193297803847
234,24,1200,projection_xy,band_u,0.9029258009845934,3.0266881342314256,0.3600000022364068,6.638460615820418,6.619210786361175
234,24,1200,projection_xy,band_r,0.9324692069551853,2.6344944371493932,0.36039061088714364,5.7897541048228485,6.701568926113332
234,24,1200,projection_yz,band_u,0.1485812059041674,1.6233675956833034,2.755054032655706,20.20912354740211,5.961317098481015
234,24,1200,projection_yz,band_r,0.32598125648514986,1.6076222549725456,0.5027356090331481,7.200240863976132,6.712869919782505
234,24,1200,projection_zx,band_u,0.25024887681102753,0.02805429362068012,0.7145664597403649,8.155772485041116,6.536418901243609
234,24,1200,projection_zx,band_r,0.35878602425449435,0.047603887787350536,0.4964575360946698,6.794707520117201,6.708210277851125
1001,19,950,projection_xy,band_u,0.6310575368721374,0.6989210175729331,0.7016018192896485,2.92646361099856,6.090208229619146
1001,19,950,projection_xy,band_r,0.6608572483994303,0.8420539868029072,0.621107145683609,3.0591079968302393,5.775232782053282
1001,19,950,projection_yz,band_u,0.8708112633409407,0.6714231438074462,1.0915908441372089,2.890456868028728,5.91284702624663
1001,19,950,projection_yz,band_r,0.8783620464454952,0.6044404840990085,0.797031359420876,2.7925969076356285,5.7022543343918395
1001,19,950,projection_zx,band_u,0.5621139988285405,2.2894791010227094,0.7198802189156077,2.9441211581161033,6.108668546359995
1001,19,950,projection_zx,band_r,0.6388551457599025,2.351932125987271,0.7455740119129504,3.22449075107839,5.712760313566156
247,22,1100,projection_xy,band_u,0.5745824463285621,1.8924884376071143,3.5983765396051925,11.066409664455158,6.199356259656519
247,22,1100,projection_xy,band_r,0.3965512716058629,1.8432859726346729,0.4734139884899836,5.988524164150346,6.988091599418627
247,22,1100,projection_yz,band_u,0.778508334450182,0.12147675260637403,4.289596560865783,8.517570053668058,6.136928124627971
247,22,1100,projection_yz,band_r,0.41341334445751193,2.7945567316550206,0.47638131535113204,5.7688414546278635,6.952456267532905
247,22,1100,projection_zx,band_u,0.999999985858633,1.8691346830462976,0.6956716213964785,6.74868128023419,6.775569628406675
247,22,1100,projection_zx,band_r,0.8204283122521585,2.9097463257896266,0.370789425935057,5.239134996653868,6.954832833201608
57,39,1950,projection_xy,band_u,0.9999999203474432,2.118762111569282,0.4823487798594305,16.13724854405398,6.520491033408444
57,39,1950,projection_xy,band_r,0.9445670220886676,1.2553883095057867,0.5843747481729394,13.356404229700434,6.339987795839689
57,39,1950,projection_yz,band_u,0.5061008008464823,1.400460894267607,4.576162687986205,22.091755862890217,6.08436762768233
57,39,1950,projection_yz,band_r,0.19282231545652975,1.556408939587924,0.44372668387708036,15.044209357060076,6.757724118811272
57,39,1950,projection_zx,band_u,0.06112705915752823,3.0045594881329727,0.3957137472072626,15.808820229071005,7.432427759351947
57,39,1950,projection_zx,band_r,0.09859152676560687,3.0019905669416205,0.7326706896318398,18.788046608191536,6.79196123640356
191,17,850,projection_xy,band_u,0.8894461886434855,0.4122706703871265,0.3600000001416236,7.122383499700784,6.285636454867329
191,17,850,projection_xy,band_r,0.9347932659528425,0.5037780224298283,0.3600000001014005,6.198742619179769,6.567092319994261
191,17,850,projection_yz,band_u,0.3949761044235035,1.6042017858713935,0.360000000849842,7.965783614633962,6.244366336861654
191,17,850,projection_yz,band_r,0.39339076328722894,1.6000912100346243,0.3600000013174048,7.173347693548533,6.554429624432208
191,17,850,projection_zx,band_u,0.41737314270787523,0.03622089028579209,0.36000002088821087,7.612552306829264,6.2463322074538175
191,17,850,projection_zx,band_r,0.40153199094403225,0.03211701815710324,0.3600000052550774,7.0549493163334125,6.554592471481827
380,16,800,projection_xy,band_u,0.9785247288586902,2.709543910011794,6.995116531266994,10.750472897200112,5.3885649576142365
380,16,800,projection_xy,band_r,0.8504310203663759,1.6144621039415816,0.6778756593162416,3.1371792257326976,6.831813592363815
380,16,800,projection_yz,band_u,0.8453424126467839,2.0440627021902325,4.483707811055162,4.73130779119462,6.00938155837355
380,16,800,projection_yz,band_r,0.6731604772912596,1.5469054111619682,3.0305375836839907,7.67529576462166,5.988241363053023
380,16,800,projection_zx,band_u,0.5473954681506518,0.031160992202851828,0.6476819460930543,3.983639154463092,6.56599083452887
380,16,800,projection_zx,band_r,0.5619255232013933,0.02844961575005155,0.5217691580762084,3.584473937498674,6.805224828514526
483,19,950,projection_xy,band_u,0.4584960379546441,1.620490641440849,4.495000171265872,17.009449072260633,6.073658070838769
483,19,950,projection_xy,band_r,0.41103192990328313,1.7497649919387168,0.4392964649008089,4.693883777445247,7.041235341120992
483,19,950,projection_yz,band_u,0.7792273147685622,0.6838222561103362,0.36000000066010013,2.412787406411305,7.634318281719588
483,19,950,projection_yz,band_r,0.8021058530985384,0.5858766445855613,0.532379668313553,2.542923069969972,7.211287680656816
483,19,950,projection_zx,band_u,0.34248615867966486,0.1980117294527226,0.3600000017723205,5.365202341266338,7.40467582552516
483,19,950,projection_zx,band_r,0.44224952216090324,0.25622482125013135,0.3973443374960892,4.608028120573781,7.038567646117186
137,20,1000,projection_xy,band_u,0.9936627414318427,0.9831482420775559,0.39664300851826295,8.23037135785533,6.137299522227032
137,20,1000,projection_xy,band_r,0.9999999802040712,3.0479387124548154,0.47548092486259746,6.099644383727252,6.511890391579599
137,20,1000,projection_yz,band_u,0.6163544875192166,1.4053941565188628,0.3600000066427205,9.028893144694845,6.17021470527134
137,20,1000,projection_yz,band_r,0.5931605631996436,1.4221582397956505,0.3600001870599198,7.791209270773204,6.509669646334627
