galaxyID,FOV,pixel,view,band,b_a,b_a_e,PA,PA_e,n,n_e,Re,Re_e,Ie,Ie_e,Mstar_ahf_cat,flag
328,17,850,projection_yz,band_r,0.5985142471355417,5.936016654989955e-10,1.351609739395717,9.248341745936827e-10,0.4743458673314695,8.965747271813942e-10,6.199267789128897,4.600436465895585e-09,6.748475202738629,4.72577215738712e-10,6074490000.0,none
328,17,850,projection_yz,band_u,0.5909885715093176,9.185177719893747e-10,1.337321426725041,1.408396722438983e-09,0.5748067885303646,1.5747381523154735e-09,7.147989904390669,8.965160598787361e-09,6.488741134585315,8.113459717712032e-10,6074490000.0,none
328,17,850,projection_zx,band_r,0.5940478001554366,6.123230690608852e-10,2.7813974279660774,9.461835922812802e-10,0.4583553886085546,9.154220540165107e-10,6.161322679216946,4.704881492020884e-09,6.736652480871333,4.845613620831614e-10,6074490000.0,none
328,17,850,projection_zx,band_u,0.6334667034248894,1.0403241065638761e-09,2.776253692711146,1.7368123098660884e-09,0.4360846994881034,1.425878643331814e-09,6.981145084603092,8.397090432407436e-09,6.467062140456626,7.592145990260181e-10,6074490000.0,none
329,22,1100,projection_xy,band_r,0.847360876234578,1.220351020503043e-09,0.5217362855654515,4.327799801116877e-09,0.4721110913037589,1.2978269092314695e-09,5.533781706121816,5.951887574358818e-09,6.56034058852725,6.845449757560148e-10,4917740000.0,none
329,22,1100,projection_xy,band_u,0.8377017244896855,1.9828736623810274e-09,0.4374438636708778,6.648230951212524e-09,0.4757825815443762,2.14166324604036e-09,6.581787878099524,1.1661509771126248e-08,6.2715560764003335,1.1285572253724484e-09,4917740000.0,none
329,22,1100,projection_yz,band_r,0.7467542395559167,1.1049294457744958e-09,1.119091747517156,2.497816658190147e-09,0.4703876262675306,1.330873821866299e-09,5.819669780919245,6.424046964772593e-09,6.554242862353781,7.02290974096165e-10,4917740000.0,none
329,22,1100,projection_yz,band_u,0.9999996529965696,2.2602418902437316e-09,2.976360839905769,0.0032568010632816,0.3600034178795774,1.7871941967125332e-09,5.527079032097508,8.741423869906623e-09,6.329081294539607,9.769804626646758e-10,4917740000.0,fit
329,22,1100,projection_zx,band_r,0.6981423513830262,1.0223419465633107e-09,2.4890898275411004,1.994435070018637e-09,0.4468415743499337,1.2831276334551951e-09,5.784079718624473,6.228402217962838e-09,6.57684457387986,6.814175002828901e-10,4917740000.0,none
329,22,1100,projection_zx,band_u,0.7258703558518538,1.7312073988387315e-09,2.4812871188003616,3.659189729257227e-09,0.4201858068590513,2.027145730825517e-09,6.659099915056561,1.1493993208017578e-08,6.295811253350976,1.0849640256654788e-09,4917740000.0,none
