pixel,sim,view,lum_g,mag_r,lum_r,mag_u,FOV,lum_u,mag_g
550,1510,projection_zx,27817364.684800003,-13.715644178351225,22607767.1424,-12.153490517597486,17,36424718.7456,-13.280789960342377
550,2368,projection_xy,21816233.1648,-13.587178869869371,20084986.6752,-11.835492435069263,23,27176715.8784,-13.016949416391148
550,2368,projection_yz,21815815.3728,-13.587179224137946,20084993.228800002,-11.835449888048885,23,27175650.9184,-13.016928623789576
550,2368,projection_zx,21804997.0176,-13.586794774738577,20077882.5728,-11.834692927019077,23,27156711.0144,-13.016390079020981
550,9084,projection_xy,2825743.7696,-11.385007782977945,2642427.6992,-9.57102196812841,13,3376049.3568,-10.797831946776826
550,9084,projection_yz,2824160.8704000004,-11.384592089394092,2641416.1920000003,-9.570158218672272,13,3373364.6336000003,-10.797223578627486
550,9084,projection_zx,2825618.6368,-11.384969830923412,2642335.3344,-9.57097889247753,13,3375915.4176000003,-10.797783865906544
550,2345,projection_xy,27465531.392,-13.754739826650363,23436671.3856,-12.12796773209823,39,35578455.6544,-13.266970014981903
550,2345,projection_yz,27434957.2096,-13.753861826798994,23417726.566400003,-12.12631362158534,39,35524293.427200004,-13.265760717904959
550,2345,projection_zx,27468639.436800003,-13.754791058714625,23437777.305600002,-12.128156210165837,39,35584632.422400005,-13.267092871729096
550,954,projection_xy,210284170.44480002,-15.930768014848029,173903052.8,-14.26650680992794,20,255036725.65760002,-15.477016453860111
550,954,projection_yz,205199310.84800002,-15.90894601048249,170442699.5712,-14.236274690271173,20,248033234.12480003,-15.450439744712833
550,954,projection_zx,213271012.9664,-15.936950436151422,174896119.808,-14.294649514211315,20,261733797.0688,-15.492329579267968
550,12738,projection_xy,3485682.4832,-11.574099537469833,3145138.7904000003,-9.878363280049811,16,4480694.272,-11.025719559864838
550,12738,projection_yz,3486295.2448,-11.574265597174689,3145619.8656,-9.878575856869976,16,4481571.6352,-11.025910408855376
550,12738,projection_zx,3484939.4688000004,-11.573956503580986,3144724.48,-9.878060122339146,16,4479443.3536,-11.02548809769594
550,1105,projection_xy,175149180.5184,-15.767862873292133,149673580.95360002,-14.154277674605872,28,229991120.896,-15.278520274243194
550,1105,projection_yz,173774143.488,-15.762162723937502,148889849.0368,-14.140312021261039,28,227051726.4384,-15.269962891503289
550,1105,projection_zx,170217740.6976,-15.751443779327891,147427164.16,-14.108792068729677,28,220554959.2576,-15.247512054552883
550,2576,projection_xy,2509237.4528,-11.186777461094005,2201460.9408,-9.560738015902814,13,3344222.8224,-10.668854402948933
550,2576,projection_yz,2509160.8576,-11.18684876835047,2201605.5296,-9.56072239054205,13,3344174.6944000004,-10.668821260030969
550,2576,projection_zx,2509278.0032,-11.186761300158294,2201428.1728000003,-9.560764478766849,13,3344304.3328,-10.668871948790041
550,3061,projection_xy,299649440.15360004,-16.62292200477693,328979474.0224,-14.256362282147503,15,252664899.1744,-15.861533676561075
550,3061,projection_yz,298292163.37920004,-16.61939517618248,327912574.15680003,-14.250232224324066,15,251242374.75840002,-15.856604609721982
550,3061,projection_zx,299438230.7328,-16.622356736433012,328808241.5616,-14.255581921843014,15,252483364.4544,-15.860768120080467
550,5818,projection_xy,8165607.014400001,-12.558868380956502,7790177.484800001,-10.688469439275526,13,9449041.92,-11.9499711870741
550,5818,projection_yz,8168184.2176,-12.559126954092081,7792032.972800001,-10.688866687887032,13,9452499.7632,-11.950313809653847
550,5818,projection_zx,8165487.4112,-12.558866668346356,7790165.1968,-10.688364856186976,13,9448131.788800001,-11.949955283972804
