pixel,sim,view,lum_g,mag_r,lum_r,mag_u,FOV,lum_u,mag_g
550,627,projection_xy,234560054.8864,-16.086652742059833,200752562.176,-14.36184806854482,21,278444874.1376,-15.595635136461867
550,627,projection_yz,224103628.8,-16.04747301803185,193637384.192,-14.30892154856869,21,265197007.6672,-15.546122222273135
550,627,projection_zx,234639720.448,-16.088762800380984,201143091.20000002,-14.360787248935623,21,278172952.1664,-15.596003831375546
550,51,projection_xy,3416661793.1776004,-19.40037505122823,4247662677.1968,-16.740054294779302,15,2488981782.5280004,-18.504004977999116
550,51,projection_yz,3971672440.8320003,-19.542055328142652,4839741115.5968,-16.92085605432817,15,2939966770.3808002,-18.667433558391913
550,51,projection_zx,3363879203.6352,-19.392757837386263,4217966585.4464,-16.719105335815023,15,2441417955.7376003,-18.48710097990105
550,889,projection_xy,32623306.342400003,-13.918042275247226,27240615.116800003,-12.3154501952504,15,42284390.8096,-13.453819935713144
550,889,projection_yz,32675695.820800003,-13.921365503153561,27324121.088,-12.316141844849948,15,42311335.936000004,-13.455562111359553
550,889,projection_zx,32607459.737600002,-13.91851123915441,27252383.744000003,-12.310346753649732,15,42086101.8112,-13.453292416754644
550,1113,projection_xy,8881372.3648,-12.261571433965921,5924184.4736,-11.125955550370602,10,14137812.582400002,-12.041200197219348
550,1113,projection_yz,8885734.6048,-12.261904460253517,5926001.8688,-11.12674543506093,10,14148101.7344,-12.041733344456558
550,1113,projection_zx,8868965.5808,-12.260549876598349,5918613.0944,-11.12373135512134,10,14108880.0768,-12.0396824236639
550,17026,projection_xy,2289010.0736000002,-11.097873165686634,2028379.7504,-9.442709186152094,12,2999740.416,-10.569119259863799
550,17026,projection_yz,2289161.8304000003,-11.09782120274361,2028282.6752000002,-9.44283400717018,12,3000085.2992000002,-10.569191239621482
550,17026,projection_zx,2289059.0208,-11.097879414227464,2028391.424,-9.442823556554615,12,3000056.4224,-10.569142476528322
550,105,projection_xy,430207034.9824,-17.225702355267984,573166688.6656001,-14.552268451663927,14,331823683.9936,-16.254193769830238
550,105,projection_yz,1080174732.9024,-18.09045169396512,1271102806.4256,-15.749924839243238,14,999930776.7808001,-17.25373503547023
550,105,projection_zx,1160999285.5552,-18.16622527842658,1362981971.5584002,-15.817643494794517,14,1064283668.48,-17.33207988121653
550,1054,projection_xy,72828243.1488,-14.694927613522262,55714860.2368,-13.373529452491368,16,112049979.392,-14.32574958375618
550,1054,projection_yz,72737816.576,-14.69430892593069,55683121.152,-13.36490450753978,16,111163395.2768,-14.324400650951707
550,1054,projection_zx,77134725.12,-14.733150967980722,57711237.5296,-13.469603760737389,16,122416935.73120001,-14.388124840486155
550,1795,projection_xy,2544521.216,-11.220808616481921,2271555.9936,-9.53257628098402,8,3258595.9424,-10.684015190836524
550,1795,projection_yz,2544655.3600000003,-11.220767404721748,2271469.7728,-9.532562428662338,8,3258554.3680000002,-10.684072427992794
550,1795,projection_zx,2544692.0192,-11.220790800663538,2271518.72,-9.532637556621957,8,3258779.8528,-10.684088069377713
550,1552,projection_xy,32064765.952000003,-13.84859600231943,25552794.4192,-12.583365329001435,15,54118547.456,-13.43507018562723
550,1552,projection_yz,31203891.6096,-13.829612975066025,25109911.961600002,-12.556687204459593,15,52804979.9168,-13.405521901647026
550,1552,projection_zx,30858972.364800002,-13.831516566298694,25153975.0912,-12.455160814548496,15,48091057.356800005,-13.393453648798724
550,546,projection_xy,472873906.99520004,-16.71099176733709,356776882.99520004,-15.206894216415108,28,606397897.1136,-16.356863376174935
550,546,projection_yz,451765757.5424,-16.673592435161204,344696579.6864,-15.1454169867933,28,573016060.7232001,-16.30728327410823
550,546,projection_zx,508169709.1584,-16.763178078710453,374344305.86880004,-15.315317342655586,28,670080434.176,-16.435021935446713
550,431,projection_xy,512854589.44,-16.978758747814872,456565928.7552,-15.236245701703755,20,623014680.9856,-16.44498561572481
550,431,projection_yz,588541801.2672,-17.107103425698114,513855927.09120005,-15.374775219714572,20,707799233.3312,-16.59444328525946
550,431,projection_zx,673023944.2944,-17.20876954373835,564297098.8544,-15.588035883952365,20,861418815.488,-16.740076288680108
550,1455,projection_xy,3814828.8512000004,-11.41590662500346,2718708.5312,-10.32787820180831,10,6778775.9616,-11.123687646260178
550,1455,projection_yz,3787554.4064,-11.411002083399035,2706455.1424000002,-10.315023187330837,10,6698989.1584,-11.115897199967053
550,1455,projection_zx,3807883.6736000003,-11.414925211713728,2716252.16,-10.32419371509355,10,6755810.918400001,-11.121709181814394
550,251,projection_xy,807645164.3392,-17.623079701811214,826479109.7344,-15.604850028364197,22,874862922.9568,-16.93805149284978
550,251,projection_yz,679172007.5264001,-17.44442635030066,701084781.7728001,-15.40038367133787,22,724692002.4064001,-16.749949444755877
550,251,projection_zx,1027068657.664,-17.831738750301447,1001602731.2128,-15.91953075021117,22,1168994048.4096,-17.198998690901583
550,293,projection_xy,650064481.4848,-17.382609384093755,662283223.0400001,-15.278829710614222,38,647935662.4896001,-16.702391093776747
550,293,projection_yz,542877889.3312,-17.220750873440075,570558722.8672,-15.060663171449384,38,529987062.98880005,-16.506755384499314
550,293,projection_zx,539096095.1296,-17.221505759503344,570955556.4544001,-15.019470987726969,38,510256322.9696,-16.499165465215214
550,1619,projection_xy,3423458.9184000003,-11.551601112197288,3080636.416,-9.851430780397372,9,4370914.5088,-11.006162801722573
550,1619,projection_yz,3423573.1968,-11.551627457392614,3080711.168,-9.851489383784582,9,4371150.4384,-11.00619904405187
550,1619,projection_zx,3423581.3888000003,-11.551549069535545,3080488.7552,-9.851447161176544,9,4370980.4544,-11.006201642021837
550,2054,projection_xy,3780406.0672000004,-11.612804170658455,3259279.9744,-9.995825585175812,14,4992639.7952000005,-11.11384612874158
550,2054,projection_yz,3779768.7296,-11.612726666244596,3259047.3216000004,-9.995741762712065,14,4992254.3616,-11.11366306934753
550,2054,projection_zx,3780496.5888,-11.612854654712953,3259431.5264000003,-9.995892210955827,14,4992946.176,-11.113872126319622
550,754,projection_xy,155117446.7584,-15.49790705274785,116724714.7008,-14.176109357710907,19,234662526.976,-15.146651619046791
550,754,projection_yz,152318299.34080002,-15.488782438003875,115747861.2992,-14.12637899278636,19,224156634.3168,-15.126880205242982
550,754,projection_zx,152720729.7024,-15.484121820312561,115252068.352,-14.168756737031025,19,233078757.7856,-15.129744976143579
550,764,projection_xy,195509695.2832,-15.808355236291122,155361030.9632,-14.384380846122088,22,284283948.2368,-15.397920747086628
550,764,projection_yz,194358411.264,-15.807942319740699,155301956.81280002,-14.362727293552766,22,278670449.0496,-15.391508350924708
550,764,projection_zx,192635378.07360002,-15.807533737866427,155243524.9152,-14.299827596423928,22,262985036.5952,-15.381840124042808
550,330,projection_xy,587836529.0496,-17.245394655003103,583657219.6864,-15.215548063352358,20,611250497.1264,-16.593141425725214
550,330,projection_yz,443615910.29760003,-16.999834200321615,465515000.6272,-14.842881344471223,20,433663167.69280005,-16.287517784351856
550,330,projection_zx,446988759.8592,-17.015303836742042,472195163.7504,-14.85261742766279,20,437569427.86560005,-16.29574150585836
550,1179,projection_xy,16440976.9984,-13.095439080620226,12769551.1552,-11.613513259638605,11,22151610.368,-12.709819054361452
550,1179,projection_yz,16555719.0656,-13.100523929621355,12829495.296,-11.623842023571974,11,22363347.353600003,-12.71737012059402
550,1179,projection_zx,16236165.5296,-13.086300028254003,12662516.1216,-11.59600062378167,11,21797176.9344,-12.696208675876703
550,1321,projection_xy,6644960.051200001,-11.936021449962768,4389434.5728,-10.949976805239874,8,12022387.5072,-11.72623093588478
550,1321,projection_yz,6561342.6688,-11.927784339001912,4356259.4304,-10.927484295956539,8,11775889.408,-11.712481798890591
550,1321,projection_zx,6638983.1680000005,-11.935234044758426,4386252.3904,-10.948504017435152,8,12006090.342400001,-11.725253918923377
550,115,projection_xy,1322994420.9408,-18.23340111550847,1449974772.5312002,-16.051258006721792,26,1319785044.3776,-17.47389503193562
550,115,projection_yz,868746841.2928001,-17.82871376544572,998816035.6352,-15.537854888130546,26,822511455.4368,-17.017233096336142
550,115,projection_zx,1292585297.5104,-18.201604197597895,1408126523.8016,-16.052941662115753,26,1321833227.8784,-17.44864802934878
