lum_V,mag_U,lum_U,pixel,mag_V,sim,lum_J,mag_J,FOV,view
4195105.1776,-10.338125403036294,4690835.0464,600,-11.746857134293613,3270,5230034.5344,-12.22626139140807,12,projection_yz
4195338.6496,-10.338227409097112,4691275.776000001,600,-11.746917557558103,3270,5230116.0448,-12.226278312539687,12,projection_zx
514040214.32320005,-15.440732086721216,515576168.448,1300,-16.967492739975967,815,826915422.2080001,-17.723652729302255,26,projection_xy
507793480.0896,-15.412131259730586,502172011.72480005,1300,-16.954217800918467,815,824511404.4416001,-17.720491667694834,26,projection_yz
505372789.9648,-15.403569076546493,498227426.0992,1300,-16.94902963785437,815,823408407.3472,-17.719038242534943,26,projection_zx
36252866.9696,-12.705831392149207,41527191.142400004,900,-14.088355893463572,1176,47380109.7216,-14.618990155288849,18,projection_xy
36281054.0032,-12.70700609816219,41572145.5616,900,-14.089199738219634,1176,47391725.9776,-14.619256314315383,18,projection_yz
36213037.4656,-12.703000167058093,41419043.6352,900,-14.08716238489697,1176,47369542.041600004,-14.618747965209828,18,projection_zx
4482091.8272,-10.378701999585747,4869459.968,600,-11.818701874829227,8723,5790976.0,-12.336879412640304,12,projection_xy
4482132.7872,-10.37871341551314,4869511.1680000005,600,-11.81871179688202,8723,5790996.48,-12.33688325237961,12,projection_yz
4482077.0816,-10.378692318785266,4869416.5504,600,-11.818698302868022,8723,5790973.542400001,-12.336878951870677,12,projection_zx
1048906196.5824001,-15.92747564926469,807216925.9008,950,-17.741841627709345,349,2745869271.04,-19.026699642323365,19,projection_xy
1126063983.8208,-16.02049062896042,879419824.5376,950,-17.8189076704065,349,2865011831.6032,-19.07281604951888,19,projection_yz
919460328.2432001,-15.761177071017276,692581407.1296,950,-17.598832488919598,349,2564311692.0832,-18.95242703137258,19,projection_zx
46129306.0096,-13.016265151775091,55272112.128000006,800,-14.349942302330966,1241,57067038.3104,-14.82096333483188,16,projection_xy
46130783.8464,-13.016415375664089,55279760.1792,800,-14.349977085321559,1241,57067090.7392,-14.820964332322234,16,projection_yz
46137127.7312,-13.016647686166284,55291589.427200004,800,-14.350126385014143,1241,57069515.571200006,-14.821010465249756,16,projection_zx
2310512.8448,-9.654749488623782,2499768.5248000002,1100,-11.099270968070865,15000,3036412.7232000004,-11.635902006354033,22,projection_xy
2310477.0048,-9.65472066787558,2499702.1696,1100,-11.099254126317543,15000,3036399.4112,-11.635897246344985,22,projection_yz
2310545.4080000003,-9.654775284323668,2499827.9168000002,1100,-11.099286269780237,15000,3036424.8064,-11.635906326959564,22,projection_zx
59590017.024000004,-12.815315888366776,45933163.3152,1050,-14.627933773741034,4739,107076760.37120001,-15.504238057618139,21,projection_xy
59667231.5392,-12.817648640429457,46031958.835200004,1050,-14.629339719415785,4739,107116435.8656,-15.50464028441116,21,projection_yz
59681846.067200005,-12.818127028037942,46052245.504,1050,-14.629605620461067,4739,107123461.3248,-15.504711492393533,21,projection_zx
